Haverst period,Country,Product Type,Indicator,Tonnes
1993/94,Canada,OO,I,12.0
1993/94,Chile,OO,E,0.0
1993/94,Cyprus,OO,C,3.0
1993/94,Cyprus,OO,E,0.0
1993/94,Cyprus,OO,I,0.0
1993/94,Cyprus,OO,P,3.0
1993/94,Denmark,OO,C,2.5
1993/94,Denmark,OO,E,0.8
1993/94,Denmark,OO,I,0.0
1993/94,Denmark,TO,C,1.0
1993/94,Denmark,TO,E,0.0
1993/94,Denmark,TO,I,0.0
1993/94,E.B.L.U.,OO,C,4.9
1993/94,E.B.L.U.,OO,E,1.1
1993/94,E.B.L.U.,OO,I,0.1
1993/94,E.B.L.U.,TO,C,2.8
1993/94,E.B.L.U.,TO,E,0.0
1993/94,E.B.L.U.,TO,I,1.2
1993/94,Egypt,OO,C,1.5
1993/94,Egypt,OO,E,0.0
1993/94,Egypt,OO,I,0.5
1993/94,Egypt,OO,P,1.0
1993/94,EU,OO,C,357.0
1993/94,EU,OO,E,182.5
1993/94,EU,OO,I,153.0
1993/94,EU,OO,P,1359.5
1993/94,France,OO,C,43.7
1993/94,France,OO,E,1.1
1993/94,France,OO,I,2.6
1993/94,France,OO,P,2.3
1993/94,France,TO,C,24.6
1993/94,France,TO,E,1.0
1993/94,France,TO,I,21.3
1993/94,France,TO,P,2.0
1993/94,Germany,OO,C,13.4
1993/94,Germany,OO,E,0.3
1993/94,Germany,OO,I,0.1
1993/94,Germany,TO,C,16.0
1993/94,Germany,TO,E,0.5
1993/94,Germany,TO,I,4.5
1993/94,Greece,OO,C,196.0
1993/94,Greece,OO,E,9.2
1993/94,Greece,OO,I,0.0
1993/94,Greece,OO,P,254.0
1993/94,Greece,TO,C,21.0
1993/94,Greece,TO,E,13.0
1993/94,Greece,TO,I,0.0
1993/94,Greece,TO,P,60.0
1993/94,Iran,OO,C,3.5
1993/94,Iran,OO,E,0.0
1993/94,Iran,OO,I,0.5
1993/94,Iran,OO,P,3.0
1993/94,Iraq,OO,E,0.0
1993/94,Ireland,OO,C,1.0
1993/94,Ireland,OO,E,0.0
1993/94,Ireland,OO,I,0.0
1993/94,Ireland,TO,C,0.0
1993/94,Ireland,TO,E,0.0
1993/94,Ireland,TO,I,0.0
1993/94,Israel,OO,C,4.5
1993/94,Israel,OO,E,0.0
1993/94,Israel,OO,I,1.0
1993/94,Israel,OO,P,1.5
1993/94,Italy,OO,C,692.0
1993/94,Italy,OO,E,104.8
1993/94,Italy,OO,I,91.5
1993/94,Italy,OO,P,520.0
1993/94,Italy,TO,C,130.0
1993/94,Italy,TO,E,0.7
1993/94,Italy,TO,I,3.6
1993/94,Italy,TO,P,76.8
1993/94,Japan,OO,C,6.5
1993/94,Japan,OO,I,6.5
1993/94,Jordan,OO,C,15.5
1993/94,Jordan,OO,E,1.0
1993/94,Jordan,OO,I,8.0
1993/94,Jordan,OO,P,12.5
1993/94,Lebanon,OO,C,6.5
1993/94,Lebanon,OO,E,0.0
1993/94,Lebanon,OO,I,2.0
1993/94,Lebanon,OO,P,2.0
1993/94,Libya,OO,C,9.5
1993/94,Libya,OO,E,0.0
1993/94,Libya,OO,I,1.5
1993/94,Libya,OO,P,8.0
1993/94,Mexico,OO,C,5.0
